名字, 地址1, 环礁, 距马累（公里）, 沙屋, 水屋, 餐厅+酒吧, 消费等级, 上岛交通, 链接
戴加利岛（奢华）,Dhigali,Raa 环礁,156,140,40,7,奢华,水上飞机,http://www.maldiveschina.com/property/dhigali-maldives
可可尼岛（奢华）,Ookolhufinolhu岛,北部环礁,120,85,65,5,奢华,水上飞机,http://www.maldiveschina.com/property/cocoon-maldives
贾尼岛（顶级）,Medhufaru,Noonu Atoll,92,30,24,3,顶级,水上飞机,http://www.maldiveschina.com/property/medhufaru
卡努呼拉岛（奢华）,Kanuhura,Lhaviyani Atoll,150,80,20,4,奢华,水上飞机,http://www.maldiveschina.com/property/kanuhura
芙拉薇莉岛（奢华）,Furaveri,Raa Atoll,151,93,12,3,奢华,快艇; 水上飞机; 陆基飞机,http://www.maldiveschina.com/property/furaveri
神仙珊瑚岛（奢华）,Dhonakulhi Island,Haa Alifu Atoll,300,53,50,5,奢华,快艇; 陆基飞机,http://www.maldiveschina.com/property/dhonakulhi
玛米基里岛（奢华）,Maamigili,Raa环礁,190,50,55,5,奢华,快艇; 水上飞机; 陆基飞机,http://www.maldiveschina.com/property/maamigili
阿米拉岛（奢华）,Amilla Fushi,芭环礁,125,23,46,5,奢华,快艇; 水上飞机; 陆基飞机,http://www.maldiveschina.com/property/amilla
玛娜法鲁岛（奢华）,Manafaru,Haa Alifu环礁,320,35,48,7,奢华,水上飞机,http://www.maldiveschina.com/property/manafaru
卡尼富士岛（奢华）,Kanifushi Island,Lhaviyani Atoll,133,132,0,5,奢华,水上飞机,http://www.maldiveschina.com/property/kanifushi
白马庄园（顶级）,Randheli,Noonu Atoll,168,29,15,8,顶级,水上飞机,http://www.maldiveschina.com/property/randheli
维拉私人岛（顶级）,Orimasvaru,Noonu环礁,190,29,18,6,顶级,水上飞机,http://www.maldiveschina.com/property/orimasvaru
棕榈海滩（性价比）,Madhiriguraidhoo Island,Lhavijani Atoll,143,136,0,6,性价比,水上飞机,http://www.maldiveschina.com/property/madhiriguraidhoo
吉哈德岛（性价比）,Kihaaddhufaru Island,芭环礁,120,106,12,5,性价比,陆基飞机,http://www.maldiveschina.com/property/kihaadhuffaru
都喜天阙（奢华）,Mudhdhoo Island,芭环礁,123,43,51,5,奢华,水上飞机; 陆基飞机,http://www.maldiveschina.com/property/mudhdhoo
克哈瓦岛（顶级）,Kihavah huravalhi,,125,37,42,6,顶级,水上飞机,http://www.maldiveschina.com/property/kihavah-huravalhi-island
杜妮可鲁岛（奢华）,Dhunikolhu,Baa环礁,124,84,14,4,奢华,水上飞机,http://www.maldiveschina.com/property/dhunikolhu-island
瑞提海滩度假村（性价比）,Fonimagoodhoo,Baa环礁,126,90,30,8,性价比,水上飞机,http://www.maldiveschina.com/property/fonimagoodhoo
维拉蔓豪岛（性价比）,Vilamendhoo,南阿里环礁,87,154,30,6,性价比,水上飞机,http://www.maldiveschina.com/property/vilamendhoo
索尼娃芙西岛（顶级）,Kunfunadhoo Island,芭环礁,114,55,0,7,顶级,水上飞机,http://www.maldiveschina.com/property/kunfunadhoo
伊露岛（奢华）,Iru Fushi,Noonu环礁,175,141,80,15,奢华,水上飞机,http://www.maldiveschina.com/property/irufushi
吉塔莉岛（奢华）,Kudafunafaru,Noonu环礁,190,20,30,5,奢华,水上飞机,http://www.maldiveschina.com/property/kudafunafaru
古丽都岛（性价比）,Kuredhdhoo Island,Lhaviyani环礁,152,333,50,15,性价比,水上飞机,http://www.maldiveschina.com/property/kuredhdhoo
月桂岛（性价比）,Alidhoo,Haa Alifu环礁,298,54,45,5,性价比,快艇; 陆基飞机,http://www.maldiveschina.com/property/alidhoo
兰达吉拉瓦鲁岛（顶级）,Landaagiraavaru,,120,63,40,7,顶级,水上飞机,http://www.maldiveschina.com/property/landaagiraavaru
密度帕如岛（性价比&奢华）,Meedhupparu,Raa环礁,136,125,20,3,奢华; 性价比,水上飞机,http://www.maldiveschina.com/property/adaaran-select-meedhupparu
皇家岛（奢华）,Horubadhoo,Baa环礁,114,148,0,6,奢华,快艇; 陆基飞机,http://www.maldiveschina.com/property/horubadhoo
卡曼都岛（性价比）,Komandoo Island,Lhaviyani Atoll,146,50,15,4,性价比,水上飞机,http://www.maldiveschina.com/property/komandoo
宏达富士岛（性价比）,Hondaafushi,Haa Dhaalu Atoll,290,100,0,3,性价比,快艇; 陆基飞机,http://www.maldiveschina.com/property/hondaafushi-island-resort
阿薇自然天堂岛（性价比）,Dhoores island,Dhaalu Atoll,150,33,0,4,性价比,水上飞机,http://www.maldiveschina.com/property/dhoores
美露丽芙岛（性价比）,Meedhuffushi Island,Dhaalu Atoll,145,62,41,4,性价比,水上飞机,http://www.maldiveschina.com/property/meedhuffushi
豪沃达岛（奢华）,Havodda,Gaafu Dhaalu Atoll,400,60,60,5,奢华,快艇; 陆基飞机,http://www.maldiveschina.com/property/havodda
卡纳塔岛（奢华）,Konotta,Gaafu Dhaalu Atoll,340,29,24,3,奢华,快艇; 陆基飞机,http://www.maldiveschina.com/property/konotta
玛丽富士岛（奢华）,Maalifushi,Thaa Atoll,210,32,33,3,奢华,水上飞机,http://www.maldiveschina.com/property/maalifushi
鲁滨逊岛（性价比）,Funamadua,Gaafu Alif Atoll,400,76,45,5,性价比,快艇; 陆基飞机,http://www.maldiveschina.com/property/funamadua
瑞喜敦岛（奢华）,Falhumaafushi,Gaafu Alifu Atoll,380,19,75,3,奢华,快艇; 陆基飞机,http://www.maldiveschina.com/property/falhumaafushi
阿雅达岛（奢华）,Magudhuva Island,Gaafu Dhaalu Atoll,430,62,50,8,奢华,陆基飞机,http://www.maldiveschina.com/property/maguhdhuvaa
尼亚玛岛（顶级）,NIYAMA,Dhaalu环礁,180,94,40,9,顶级,水上飞机,http://www.maldiveschina.com/property/niyama
卡娜丽芙岛（性价比）,Hulhumeedhoo,阿杜环礁,480,271,0,3,性价比,快艇; 陆基飞机,http://www.maldiveschina.com/property/hulhumeedhoo
德瓦娜芙希岛（顶级）,Meradhoo,,400,21,16,4,顶级,陆基飞机,http://www.maldiveschina.com/property/meradhoo-island
拉姆拉堤岛（顶级）,Olhuveli Island,Laamu Atoll,260,27,70,6,顶级,陆基飞机,http://www.maldiveschina.com/property/latitude-laamu
哈库拉岛（性价比）,Hakuraahuraa,Meemu环礁,148,10,70,3,性价比,水上飞机,http://www.maldiveschina.com/property/cinnamon-hakuraa-huraa-maldives
微拉瓦鲁岛（奢华）,Velavaru,Dhaalu环礁,150,79,33,5,奢华,水上飞机,http://www.maldiveschina.com/property/angsana-velavaru
微陵姬丽岛（奢华）,Villingili Island,阿杜环礁,537,70,62,7,奢华,陆基飞机,http://www.maldiveschina.com/property/villingili
哈达哈岛（奢华）,Hadahaa,Gaafu Alifu,405,36,14,3,奢华,快艇; 陆基飞机,http://www.maldiveschina.com/property/hadahaa
菲利兹优岛（性价比）,Filitheyo,Faafu环礁,118,109,16,4,性价比,水上飞机,http://www.maldiveschina.com/property/filitheyo
拉尼娅私人岛（顶级）,Rania,Faafu环礁,118,6,0,1,顶级,水上飞机,http://www.maldiveschina.com/property/rania
曼德芙仕岛（性价比）,Medhufushi,Meemu Atoll,142,66,46,4,性价比,水上飞机,http://www.maldiveschina.com/property/medhufushi
赤道度假村（经济）,S.Gan; Addu City; Seenu环礁; 马尔代夫,,450,78,0,3,经济,陆基飞机,http://www.maldiveschina.com/property/equator
安利玛莎岛（经济）,Alimathaa Island,Felidhoo Atoll,64,96,34,3,经济,快艇; 水上飞机,http://www.maldiveschina.com/property/alimathaa
艾雅度岛（性价比）,Eriyadoo,北马累环礁,47,66,0,2,性价比,快艇,http://www.maldiveschina.com/property/eriyadoo
翡诺岛（奢华）,Finolhu,北马累环礁,25,22,30,5,奢华,快艇,http://www.maldiveschina.com/property/finolhu
奥露岛（性价比）,Helengeli Island,North Male Atoll,50,88,28,3,性价比,快艇,http://www.maldiveschina.com/property/helengeli
马库努都岛（经济）,Makunudu Island,北马累环礁,42,36,0,2,经济,快艇,http://www.maldiveschina.com/property/makunudu
梦幻岛（性价比）,Dhonveli,北马累环礁,13,84,60,5,性价比,快艇,http://www.maldiveschina.com/property/cinnamon-dhonveli-maldives
圣泰乐拉富士岛（性价比）,Giraavaru,北马累环礁,11,30,110,5,性价比,快艇,http://www.maldiveschina.com/property/giraavaru-island
瓦宾法鲁岛（奢华）,Vabbinfaru,北马累环礁,17,48,0,3,奢华,快艇,http://www.maldiveschina.com/property/vabbinfaru-island
库达希蒂岛（顶级）,Kuda Hithi Island,北马累环礁,29,6,0,0,顶级,快艇,http://www.maldiveschina.com/property/coco-prive-kuda-hithi-island
芙花芬岛（顶级）,Nakachchafushi,北马累环礁,26,18,26,6,顶级,快艇,http://www.maldiveschina.com/property/nakachchafushi
美禄岛（性价比）,Meerufenfushi,北马累环礁,38,182,104,12,性价比,快艇,http://www.maldiveschina.com/property/meerufenfushi
伊瑚鲁岛（奢华）,Ihuru,北马累环礁,20,45,0,2,奢华,快艇,http://www.maldiveschina.com/property/angsana-ihuru
卡尼岛（性价比）,kanifinolhu,北马累环礁,22,139,75,4,性价比,快艇,http://www.maldiveschina.com/property/kanifinolhu
蓝色美人蕉岛（经济）,Thulhaagiri,北马累环礁,15,52,34,2,经济,快艇,http://www.maldiveschina.com/property/thulhaagiri
天堂岛（性价比）,Lankanfinolhu,北马累环礁,13,220,62,6,性价比,快艇,http://www.maldiveschina.com/property/lankanfinolhu
泰姬珊瑚岛（奢华）,Hembadhu,北马累环礁,32,30,32,3,奢华,快艇,http://www.maldiveschina.com/property/hembadhu
波杜希蒂岛（奢华）,Kudahitty,北马累环礁,29,44,56,5,奢华,快艇,http://www.maldiveschina.com/property/kudahitty-island
白金岛（性价比）,Hudhuranfushi,北马累环礁,19,137,40,7,性价比,快艇,http://www.maldiveschina.com/property/adaaran-select-hudhuran-fushi
库达呼拉岛（奢华）,Kuda Huraa,北马累环礁,20,58,38,6,奢华,快艇,http://www.maldiveschina.com/property/kuda-huraa
瑞提拉岛（顶级）,Reethi Rah,北马累环礁,40,98,32,8,顶级,快艇,http://www.maldiveschina.com/property/reethi-rah
班度士岛（性价比）,Bandos,北马累环礁,10,223,2,6,性价比,快艇,http://www.maldiveschina.com/property/bandos
满月岛（性价比）,Furanafushi Island,北马累环礁,9,99,77,6,性价比,快艇,http://www.maldiveschina.com/property/furanafushi
巴洛斯岛（奢华）,Baros,北马累环礁,15,45,30,5,奢华,快艇,http://www.maldiveschina.com/property/baros
夏日岛（经济）,Ziyaaraifushi Island,北马累环礁,34,88,20,4,经济,快艇,http://www.maldiveschina.com/property/ziyaaraifushi
椰子岛（奢华）,Vihamanafushi,北马累环礁,2,180,0,11,奢华,快艇,http://www.maldiveschina.com/property/vihamanafushi
吉利岛（顶级）,Lankanfushi Island,北马累环礁,14,0,45,4,顶级,快艇,http://www.maldiveschina.com/property/lankanfushi
阿斯杜太阳岛（经济）,Asdu,北马累环礁,32,30,0,2,经济,快艇,http://www.maldiveschina.com/property/asdu-sun-island
薇莉岛（奢华）,Veliganduhuraa,南马累环礁,21,0,50,4,奢华,快艇,http://www.maldiveschina.com/property/anantara-veli-resort-spa
维塔维丽岛（奢华）,Bolifushi,南马累环礁,15,43,46,5,奢华,快艇,http://www.maldiveschina.com/property/bolifushi-island
